iter	RMSE
0	3.088535576
1	2.565678149
2	2.442584905
3	2.398927049
4	2.375916452
5	2.362495486
6	2.347756107
7	2.335351676
8	2.328849576
9	2.323307803
10	2.316326812
11	2.309362447
12	2.305470312
13	2.302102881
14	2.292394382
15	2.28972534
16	2.285405022
17	2.282805769
18	2.278600496
19	2.273997697
20	2.270155846
21	2.269488921
22	2.267853759
23	2.266379015
24	2.263182316
25	2.260787003
26	2.259264072
27	2.258060433
28	2.256790934
29	2.256561862
30	2.254836261
31	2.253972553
32	2.253005613
33	2.251961743
34	2.251800719
35	2.251105235
36	2.249570367
37	2.249182623
38	2.247716063
39	2.246634471
40	2.246197736
41	2.245030604
42	2.24431243
43	2.24310304
44	2.242293565
45	2.241869919
46	2.240993636
47	2.240300485
48	2.239868986
49	2.238479222
