iter	Passed	Remaining
0	34	1669
1	60	1443
2	86	1358
3	118	1359
4	147	1323
5	163	1200
6	179	1102
7	205	1078
8	233	1065
9	279	1118
10	315	1118
11	350	1111
12	370	1054
13	392	1008
14	414	966
15	427	909
16	462	897
17	489	869
18	512	835
19	535	802
20	549	758
21	570	726
22	588	690
23	602	653
24	619	619
25	634	585
26	649	553
27	671	527
28	701	507
29	719	479
30	743	455
31	759	427
32	781	402
33	796	375
34	816	349
35	839	326
36	858	301
37	882	278
38	914	257
39	930	232
40	953	209
41	974	185
42	1002	163
43	1026	140
44	1043	115
45	1057	91
46	1079	68
47	1101	45
48	1122	22
49	1137	0
